Berna,20/8,Nej
Bernhardina,20/8,Nej
Jon,21/8,Ja
Jonna,21/8,Ja
Henrietta,22/8,Ja
Henrika,22/8,Ja
Henriette,22/8,Nej
Henny,22/8,Nej
Signe,23/8,Ja
Signhild,23/8,Ja
Signar,23/8,Nej
Signy,23/8,Nej
Bartolomeus,24/8,Ja
Lovisa,25/8,Ja
Louise,25/8,Ja
Lou,25/8,Nej
Louisa,25/8,Nej
Lova,25/8,Nej
Lovise,25/8,Nej
Luisa,25/8,Nej
Luise,25/8,Nej
Östen,26/8,Ja
Esten,26/8,Nej
Rolf,27/8,Ja
Raoul,27/8,Ja
Fatima,28/8,Ja
Leila,28/8,Ja
Hans,29/8,Ja
Hampus,29/8,Ja
Hasse,29/8,Nej
Albert,30/8,Ja
Albertina,30/8,Ja
Abbe,30/8,Nej
Adalbert,30/8,Nej
Alberto,30/8,Nej
Albrekt,30/8,Nej
Alba,30/8,Nej
Arvid,31/8,Ja
Vidar,31/8,Ja
Arve,31/8,Nej
Arvida,31/8,Nej
Arvo,31/8,Nej
Samuel,1/9,Ja
Sam,1/9,Ja
Sammy,1/9,Nej
Sami,1/9,Nej
Justus,2/9,Ja
Justina,2/9,Ja
Alfhild,3/9,Ja
Alva,3/9,Ja
Alvi,3/9,Nej
Alvina,3/9,Nej
Alvy,3/9,Nej
Gisela,4/9,Ja
Adela,5/9,Ja
Heidi,5/9,Ja
Adele,5/9,Nej
Adelia,5/9,Nej
Adelina,5/9,Nej
Adla,5/9,Nej
Alida,5/9,Nej
Alina,5/9,Nej
Aline,5/9,Nej
Lilian,6/9,Ja
Lilly,6/9,Ja
Lillie,6/9,Nej
Kevin,7/9,Ja
Roy,7/9,Ja
Alma,8/9,Ja
Hulda,8/9,Ja
Anita,9/9,Ja
Annette,9/9,Ja
Tord,10/9,Ja
Turid,10/9,Ja
Torfrid,10/9,Nej
Dagny,11/9,Ja
Helny,11/9,Ja
Åsa,12/9,Ja
Åslög,12/9,Ja
Aslög,12/9,Nej
Åse,12/9,Nej
Sture,13/9,Ja
Ida,14/9,Ja
Ronja,14/9,Ja
Sigrid,15/9,Ja
Siri,15/9,Ja
Sickan,15/9,Nej
Sigga,15/9,Nej
Dag,16/9,Ja
Daga,16/9,Ja
Dage,16/9,Nej
Hildegard,17/9,Ja
Magnhild,17/9,Ja
Magna,17/9,Nej
Magne,17/9,Nej
Orvar,18/9,Ja
Fredrika,19/9,Ja
Elise,20/9,Ja
Lisa,20/9,Ja
Elisa,20/9,Nej
Lise,20/9,Nej
Matteus,21/9,Ja
Maurits,22/9,Ja
Moritz,22/9,Ja
Moje,22/9,Nej
Morris,22/9,Nej
Maurice,22/9,Nej
Tekla,23/9,Ja
Tea,23/9,Ja
Gerhard,24/9,Ja
Gert,24/9,Ja
Jerry,24/9,Nej
Tryggve,25/9,Ja
Enar,26/9,Ja
Einar,26/9,Ja
Eina,26/9,Nej
Eje,26/9,Nej
Dagmar,27/9,Ja
Rigmor,27/9,Ja
Lennart,28/9,Ja
Leonard,28/9,Ja
Lennie,28/9,Nej
Lenny,28/9,Nej
Mikael,29/9,Ja
Mikaela,29/9,Ja
Michel,29/9,Nej
Mickel,29/9,Nej
Miguel,29/9,Nej
Mike,29/9,Nej
Mikko,29/9,Nej
Michelle,29/9,Nej
Helge,30/9,Ja
Helgo,30/9,Nej
Reiner,1/10,Nej
Rauno,1/10,Nej
Rainer,1/10,Nej
Ragna,1/10,Ja
Ragnar,1/10,Ja
Ragni,1/10,Nej
Luis,2/10,Nej
Louis,2/10,Nej
Lajos,2/10,Nej
Love,2/10,Ja
Ludvig,2/10,Ja
